no,error_type,start_location,end_location
1,insert_branch,"org.apache.commons.math3.fraction$BigFraction#BigFraction(double,double,int,int):303","org.apache.commons.math3.fraction$BigFraction#BigFraction(double,double,int,int):306"
1,insert_branch,"org.apache.commons.math3.fraction$Fraction#Fraction(double,double,int,int):212","org.apache.commons.math3.fraction$Fraction#Fraction(double,double,int,int):215"
2,change_return_value,org.apache.commons.math3.distribution$HypergeometricDistribution#getNumericalMean():268,org.apache.commons.math3.distribution$HypergeometricDistribution#getNumericalMean():268
3,insert_return_branch,"org.apache.commons.math3.util$MathArrays#linearCombination(double[],double[]):819","org.apache.commons.math3.util$MathArrays#linearCombination(double[],double[]):823"
4,insert_return_branch,"org.apache.commons.math3.geometry.euclidean.threed$SubLine#intersection(org.apache.commons.math3.geometry.euclidean.threed.SubLine,boolean):113","org.apache.commons.math3.geometry.euclidean.threed$SubLine#intersection(org.apache.commons.math3.geometry.euclidean.threed.SubLine,boolean):116"
5,change_return_value,org.apache.commons.math3.complex$Complex#reciprocal():305,org.apache.commons.math3.complex$Complex#reciprocal():305
6,change_method_parameter,org.apache.commons.math3.optim$BaseOptimizer#BaseOptimizer(org.apache.commons.math3.optim.ConvergenceChecker):51,org.apache.commons.math3.optim$BaseOptimizer#BaseOptimizer(org.apache.commons.math3.optim.ConvergenceChecker):51
6,change_assignment,org.apache.commons.math3.optim.nonlinear.scalar.gradient$NonLinearConjugateGradientOptimizer#doOptimize():217,org.apache.commons.math3.optim.nonlinear.scalar.gradient$NonLinearConjugateGradientOptimizer#doOptimize():217
6,change_method_parameter,org.apache.commons.math3.optim.nonlinear.scalar.gradient$NonLinearConjugateGradientOptimizer#doOptimize():223,org.apache.commons.math3.optim.nonlinear.scalar.gradient$NonLinearConjugateGradientOptimizer#doOptimize():223
6,change_condition,org.apache.commons.math3.optim.nonlinear.scalar.gradient$NonLinearConjugateGradientOptimizer#doOptimize():277,org.apache.commons.math3.optim.nonlinear.scalar.gradient$NonLinearConjugateGradientOptimizer#doOptimize():277
6,insert_assignment,org.apache.commons.math3.optim.nonlinear.scalar.noderiv$CMAESOptimizer#doOptimize():387,org.apache.commons.math3.optim.nonlinear.scalar.noderiv$CMAESOptimizer#doOptimize():390
6,change_assignment,org.apache.commons.math3.optim.nonlinear.scalar.noderiv$PowellOptimizer#doOptimize():193,org.apache.commons.math3.optim.nonlinear.scalar.noderiv$PowellOptimizer#doOptimize():193
6,change_condition,org.apache.commons.math3.optim.nonlinear.scalar.noderiv$SimplexOptimizer#doOptimize():158,org.apache.commons.math3.optim.nonlinear.scalar.noderiv$SimplexOptimizer#doOptimize():158
6,change_assignment,org.apache.commons.math3.optim.nonlinear.scalar.noderiv$SimplexOptimizer#doOptimize():175,org.apache.commons.math3.optim.nonlinear.scalar.noderiv$SimplexOptimizer#doOptimize():175
6,change_assignment,org.apache.commons.math3.optim.nonlinear.vector.jacobian$GaussNewtonOptimizer#doOptimize():108,org.apache.commons.math3.optim.nonlinear.vector.jacobian$GaussNewtonOptimizer#doOptimize():108
6,change_method_parameter,org.apache.commons.math3.optim.nonlinear.vector.jacobian$GaussNewtonOptimizer#doOptimize():160,org.apache.commons.math3.optim.nonlinear.vector.jacobian$GaussNewtonOptimizer#doOptimize():160
6,change_assignment,org.apache.commons.math3.optim.nonlinear.vector.jacobian$LevenbergMarquardtOptimizer#doOptimize():325,org.apache.commons.math3.optim.nonlinear.vector.jacobian$LevenbergMarquardtOptimizer#doOptimize():325
7,change_assignment,"org.apache.commons.math3.ode$AbstractIntegrator#acceptStep(org.apache.commons.math3.ode.sampling.AbstractStepInterpolator,double[],double[],double):346","org.apache.commons.math3.ode$AbstractIntegrator#acceptStep(org.apache.commons.math3.ode.sampling.AbstractStepInterpolator,double[],double[],double):347"
7,change_assignment,"org.apache.commons.math3.ode$AbstractIntegrator#acceptStep(org.apache.commons.math3.ode.sampling.AbstractStepInterpolator,double[],double[],double):363","org.apache.commons.math3.ode$AbstractIntegrator#acceptStep(org.apache.commons.math3.ode.sampling.AbstractStepInterpolator,double[],double[],double):363"
7,delete_for_branch,"org.apache.commons.math3.ode$AbstractIntegrator#acceptStep(org.apache.commons.math3.ode.sampling.AbstractStepInterpolator,double[],double[],double):370","org.apache.commons.math3.ode$AbstractIntegrator#acceptStep(org.apache.commons.math3.ode.sampling.AbstractStepInterpolator,double[],double[],double):372"
8,change_method_definition,org.apache.commons.math3.distribution$DiscreteDistribution#sample(int):181,org.apache.commons.math3.distribution$DiscreteDistribution#sample(int):181
8,change_assignment,org.apache.commons.math3.distribution$DiscreteDistribution#sample(int):187,org.apache.commons.math3.distribution$DiscreteDistribution#sample(int):187
9,change_assignment,org.apache.commons.math3.geometry.euclidean.threed$Line#revert():87,org.apache.commons.math3.geometry.euclidean.threed$Line#revert():87
10,insert_assignment,"org.apache.commons.math3.analysis.differentiation$DSCompiler#atan2(double[],int,double[],int,double[],int):1416","org.apache.commons.math3.analysis.differentiation$DSCompiler#atan2(double[],int,double[],int,double[],int):1420"
11,change_method_parameter,org.apache.commons.math3.distribution$MultivariateNormalDistribution#density(double[]):183,org.apache.commons.math3.distribution$MultivariateNormalDistribution#density(double[]):183
12,change_class_definition,org.apache.commons.math3.random$BitsStreamGenerator:28,org.apache.commons.math3.random$BitsStreamGenerator:28
12,insert_static_variable,org.apache.commons.math3.random$BitsStreamGenerator:28,org.apache.commons.math3.random$BitsStreamGenerator#BitsStreamGenerator():37
13,insert_return_branch,org.apache.commons.math3.optimization.general$AbstractLeastSquaresOptimizer#squareRoot(org.apache.commons.math3.linear.RealMatrix):561,org.apache.commons.math3.optimization.general$AbstractLeastSquaresOptimizer#squareRoot(org.apache.commons.math3.linear.RealMatrix):562
14,change_assignment,org.apache.commons.math3.optim.nonlinear.vector$Weight#Weight(double[]):43,org.apache.commons.math3.optim.nonlinear.vector$Weight#Weight(double[]):43
15,change_condition,"org.apache.commons.math3.util$FastMath#pow(double,double):1541","org.apache.commons.math3.util$FastMath#pow(double,double):1541"
16,insert_return_branch,org.apache.commons.math3.util$FastMath#cosh(double):393,org.apache.commons.math3.util$FastMath#cosh(double):395
16,insert_return_branch,org.apache.commons.math3.util$FastMath#cosh(double):397,org.apache.commons.math3.util$FastMath#cosh(double):399
17,coverage_block,org.apache.commons.math3.dfp$Dfp#multiply(int):1602,org.apache.commons.math3.dfp$Dfp#multiply(int):1603
17,insert_return_branch,org.apache.commons.math3.dfp$Dfp#multiply(int):1603,org.apache.commons.math3.dfp$Dfp#multiply(int):1604
18,change_assignment,org.apache.commons.math3.optimization.direct$CMAESOptimizer$FitnessFunction#encode(double[]):932,org.apache.commons.math3.optimization.direct$CMAESOptimizer$FitnessFunction#encode(double[]):932
18,change_assignment,org.apache.commons.math3.optimization.direct$CMAESOptimizer$FitnessFunction#decode(double[]):958,org.apache.commons.math3.optimization.direct$CMAESOptimizer$FitnessFunction#decode(double[]):958
19,insert_branch,org.apache.commons.math3.optimization.direct$CMAESOptimizer#checkParameters():537,org.apache.commons.math3.optimization.direct$CMAESOptimizer#checkParameters():540
20,change_return_value,org.apache.commons.math3.optimization.direct$CMAESOptimizer$FitnessFunction#repairAndDecode(double[]):921,org.apache.commons.math3.optimization.direct$CMAESOptimizer$FitnessFunction#repairAndDecode(double[]):921
21,change_condition,"org.apache.commons.math3.linear$RectangularCholeskyDecomposition#RectangularCholeskyDecomposition(org.apache.commons.math3.linear.RealMatrix,double):83","org.apache.commons.math3.linear$RectangularCholeskyDecomposition#RectangularCholeskyDecomposition(org.apache.commons.math3.linear.RealMatrix,double):83"
21,change_assignment,"org.apache.commons.math3.linear$RectangularCholeskyDecomposition#RectangularCholeskyDecomposition(org.apache.commons.math3.linear.RealMatrix,double):84","org.apache.commons.math3.linear$RectangularCholeskyDecomposition#RectangularCholeskyDecomposition(org.apache.commons.math3.linear.RealMatrix,double):84"
21,change_condition,"org.apache.commons.math3.linear$RectangularCholeskyDecomposition#RectangularCholeskyDecomposition(org.apache.commons.math3.linear.RealMatrix,double):90","org.apache.commons.math3.linear$RectangularCholeskyDecomposition#RectangularCholeskyDecomposition(org.apache.commons.math3.linear.RealMatrix,double):90"
21,change_assignment,"org.apache.commons.math3.linear$RectangularCholeskyDecomposition#RectangularCholeskyDecomposition(org.apache.commons.math3.linear.RealMatrix,double):91","org.apache.commons.math3.linear$RectangularCholeskyDecomposition#RectangularCholeskyDecomposition(org.apache.commons.math3.linear.RealMatrix,double):93"
21,change_assignment,"org.apache.commons.math3.linear$RectangularCholeskyDecomposition#RectangularCholeskyDecomposition(org.apache.commons.math3.linear.RealMatrix,double):128","org.apache.commons.math3.linear$RectangularCholeskyDecomposition#RectangularCholeskyDecomposition(org.apache.commons.math3.linear.RealMatrix,double):128"
22,change_return_value,org.apache.commons.math3.distribution$FDistribution#isSupportLowerBoundInclusive():275,org.apache.commons.math3.distribution$FDistribution#isSupportLowerBoundInclusive():275
22,change_return_value,org.apache.commons.math3.distribution$UniformRealDistribution#isSupportUpperBoundInclusive():184,org.apache.commons.math3.distribution$UniformRealDistribution#isSupportUpperBoundInclusive():184
23,change_return_value,org.apache.commons.math3.optimization.univariate$BrentOptimizer#doOptimize():274,org.apache.commons.math3.optimization.univariate$BrentOptimizer#doOptimize():274
24,change_return_value,org.apache.commons.math3.optimization.univariate$BrentOptimizer#doOptimize():267,org.apache.commons.math3.optimization.univariate$BrentOptimizer#doOptimize():267
25,insert_branch,org.apache.commons.math3.optimization.fitting$HarmonicFitter$ParameterGuesser#guessAOmega():322,org.apache.commons.math3.optimization.fitting$HarmonicFitter$ParameterGuesser#guessAOmega():326
26,change_condition,"org.apache.commons.math3.fraction$Fraction#Fraction(double,double,int,int):181","org.apache.commons.math3.fraction$Fraction#Fraction(double,double,int,int):181"
26,change_condition,"org.apache.commons.math3.fraction$Fraction#Fraction(double,double,int,int):209","org.apache.commons.math3.fraction$Fraction#Fraction(double,double,int,int):209"
27,change_return_value,org.apache.commons.math3.fraction$Fraction#percentageValue():597,org.apache.commons.math3.fraction$Fraction#percentageValue():597
28,coverage_block,"org.apache.commons.math3.optimization.linear$SimplexSolver#getPivotRow(org.apache.commons.math3.optimization.linear.SimplexTableau,int):115","org.apache.commons.math3.optimization.linear$SimplexSolver#getPivotRow(org.apache.commons.math3.optimization.linear.SimplexTableau,int):119"
28,coverage_block,"org.apache.commons.math3.optimization.linear$SimplexSolver#getPivotRow(org.apache.commons.math3.optimization.linear.SimplexTableau,int):127","org.apache.commons.math3.optimization.linear$SimplexSolver#getPivotRow(org.apache.commons.math3.optimization.linear.SimplexTableau,int):138"
29,change_while_structure,org.apache.commons.math3.linear$OpenMapRealVector#ebeDivide(org.apache.commons.math3.linear.RealVector):350,org.apache.commons.math3.linear$OpenMapRealVector#ebeDivide(org.apache.commons.math3.linear.RealVector):353
29,insert_branch,org.apache.commons.math3.linear$OpenMapRealVector#ebeMultiply(org.apache.commons.math3.linear.RealVector):366,org.apache.commons.math3.linear$OpenMapRealVector#ebeMultiply(org.apache.commons.math3.linear.RealVector):374
30,change_assignment,"org.apache.commons.math3.stat.inference$MannWhitneyUTest#calculateAsymptoticPValue(double,int,int):173","org.apache.commons.math3.stat.inference$MannWhitneyUTest#calculateAsymptoticPValue(double,int,int):173"
31,insert_branch,"org.apache.commons.math3.util$ContinuedFraction#evaluate(double,double,int):141","org.apache.commons.math3.util$ContinuedFraction#evaluate(double,double,int):143"
31,delete_branch,"org.apache.commons.math3.util$ContinuedFraction#evaluate(double,double,int):145","org.apache.commons.math3.util$ContinuedFraction#evaluate(double,double,int):170"
31,change_assignment,"org.apache.commons.math3.util$ContinuedFraction#evaluate(double,double,int):172","org.apache.commons.math3.util$ContinuedFraction#evaluate(double,double,int):173"
31,change_assignment,"org.apache.commons.math3.util$ContinuedFraction#evaluate(double,double,int):185","org.apache.commons.math3.util$ContinuedFraction#evaluate(double,double,int):189"
32,change_condtion,org.apache.commons.math3.geometry.euclidean.twod$PolygonsSet#computeGeometricalProperties():136,org.apache.commons.math3.geometry.euclidean.twod$PolygonsSet#computeGeometricalProperties():136
33,change_method_parameter,org.apache.commons.math3.optimization.linear$SimplexTableau#dropPhase1Objective():338,org.apache.commons.math3.optimization.linear$SimplexTableau#dropPhase1Objective():338
34,change_return_value,org.apache.commons.math3.genetics$ListPopulation#iterator():209,org.apache.commons.math3.genetics$ListPopulation#iterator():209
35,change_assignment,"org.apache.commons.math3.genetics$ElitisticListPopulation#ElitisticListPopulation(java.util.List,int,double):51","org.apache.commons.math3.genetics$ElitisticListPopulation#ElitisticListPopulation(java.util.List,int,double):51"
