version;number
Time@1;35964
Time@2;35954
Time@3;35924
Time@4;35924
Time@5;35805
Time@6;35730
Time@7;35391
Time@8;35301
Time@9;35291
Time@10;35291
Time@11;35276
Time@12;35175
Time@13;35159
Time@14;35092
Time@15;35087
Time@16;35087
Time@17;35039
Time@18;35013
Time@19;34995
Time@20;34985
Time@21;34968
Time@22;34603
Time@23;34599
Time@24;34564
Time@25;34485
Time@26;34483
Time@27;34327
Chart@1;124653
Chart@2;124591
Chart@3;124559
Chart@4;122398
Chart@5;115147
Chart@6;108679
Chart@7;108447
Chart@8;108443
Chart@9;108435
Chart@10;108451
Chart@11;108434
Chart@12;108435
Chart@13;108286
Chart@14;108246
Chart@15;107842
Chart@16;107824
Chart@17;107290
Chart@18;107278
Chart@19;106777
Chart@20;105604
Chart@21;105347
Chart@22;105297
Chart@23;104886
Chart@24;104775
Chart@25;104588
Chart@26;103111
Closure@1;114810
Closure@2;114585
Closure@3;114779
Closure@4;114739
Closure@5;114178
Closure@6;114180
Closure@7;113767
Closure@8;113082
Closure@9;113055
Closure@10;113111
Closure@11;112929
Closure@12;112545
Closure@13;112516
Closure@14;112446
Closure@15;112418
Closure@16;112458
Closure@17;112452
Closure@18;112452
Closure@19;112448
Closure@20;112332
Closure@21;112361
Closure@22;112369
Closure@23;111914
Closure@24;111660
Closure@25;111618
Closure@26;111609
Closure@27;111533
Closure@28;111529
Closure@29;111507
Closure@30;110389
Closure@31;110350
Closure@32;110328
Closure@33;110293
Closure@34;110207
Closure@35;109242
Closure@36;109203
Closure@37;109058
Closure@38;108812
Closure@39;108629
Closure@40;108626
Closure@41;108466
Closure@42;108447
Closure@43;108423
Closure@44;106929
Closure@45;106892
Closure@46;107234
Closure@47;106609
Closure@48;106466
Closure@49;117811
Closure@50;117441
Closure@51;117312
Closure@52;116914
Closure@53;116144
Closure@54;115409
Closure@55;115007
Closure@56;114794
Closure@57;114641
Closure@58;114499
Closure@59;113430
Closure@60;111306
Closure@61;111113
