version;number
Time@1;42059
Time@2;42047
Time@3;42007
Time@4;42007
Time@5;41866
Time@6;41776
Time@7;41387
Time@8;41280
Time@9;41268
Time@10;41268
Time@11;41250
Time@12;41136
Time@13;41118
Time@14;41044
Time@15;41038
Time@16;41038
Time@17;40982
Time@18;40951
Time@19;40929
Time@20;40917
Time@21;40897
Time@22;40458
Time@23;40453
Time@24;40412
Time@25;40317
Time@26;40315
Time@27;40126
Chart@1;144449
Chart@2;144378
Chart@3;144343
Chart@4;141832
Chart@5;133350
Chart@6;125615
Chart@7;125315
Chart@8;125310
Chart@9;125300
Chart@10;125312
Chart@11;125287
Chart@12;125285
Chart@13;125099
Chart@14;125053
Chart@15;124579
Chart@16;124561
Chart@17;123939
Chart@18;123925
Chart@19;123328
Chart@20;121572
Chart@21;121277
Chart@22;121220
Chart@23;120755
Chart@24;120626
Chart@25;120402
Chart@26;118685
Closure@1;130401
Closure@2;130147
Closure@3;130368
Closure@4;130324
Closure@5;129694
Closure@6;129690
Closure@7;129223
Closure@8;128438
Closure@9;128408
Closure@10;128469
Closure@11;128264
Closure@12;127814
Closure@13;127779
Closure@14;127700
Closure@15;127666
Closure@16;127711
Closure@17;127705
Closure@18;127705
Closure@19;127701
Closure@20;127566
Closure@21;127600
Closure@22;127608
Closure@23;127071
Closure@24;126770
Closure@25;126721
Closure@26;126711
Closure@27;126624
Closure@28;126619
Closure@29;126594
Closure@30;125328
Closure@31;125287
Closure@32;125263
Closure@33;125221
Closure@34;125121
Closure@35;124044
Closure@36;123996
Closure@37;123826
Closure@38;123537
Closure@39;123337
Closure@40;123334
Closure@41;123151
Closure@42;123129
Closure@43;123101
Closure@44;121351
Closure@45;121307
Closure@46;121680
Closure@47;120946
Closure@48;120784
Closure@49;133256
Closure@50;132829
Closure@51;132679
Closure@52;132231
Closure@53;131325
Closure@54;130503
Closure@55;130041
Closure@56;129802
Closure@57;129628
Closure@58;129466
Closure@59;128239
Closure@60;126008
Closure@61;125784
Closure@62;125794
Closure@63;125790
Closure@64;124950
Closure@65;124948
Closure@66;124827
Closure@67;124800
Closure@68;124780
Closure@69;124828
Closure@70;124071
Closure@71;120461
Closure@72;119805
Closure@73;118080
Closure@74;117038
Closure@75;116537
Closure@76;114136
Closure@77;114062
Closure@78;114064
Closure@79;113517
Closure@80;113468
Closure@81;112999
Closure@82;111810
Closure@83;110983
Closure@84;116205
Closure@85;115927
Closure@86;115230
Closure@87;115046
Closure@88;115003
Closure@89;113851
Closure@90;113787
Closure@91;113686
Closure@92;113572
Closure@93;113466
Closure@94;113300
Closure@95;106524
Closure@96;107411
Closure@97;102255
Closure@98;99647
Closure@99;99628
Closure@100;99374
Closure@101;95087
Closure@102;94288
Closure@103;94269
Closure@104;94269
Closure@105;93025
Closure@106;88531
Closure@107;150898
Closure@108;150890
Closure@109;150342
Closure@110;148960
Closure@111;137200
Closure@112;136540
Closure@113;136536
Closure@114;136536
Closure@115;136536
Closure@116;136508
Closure@117;136367
Closure@118;136349
Closure@119;136347
Closure@120;136257
Closure@121;136282
Closure@122;136141
Closure@123;135822
Closure@124;135459
Closure@125;134305
Closure@126;131624
Closure@127;131607
Closure@128;131199
Closure@129;131193
Closure@130;131151
Closure@131;131151
Closure@132;131057
Closure@133;131018
Lang@1;35699
Lang@2;35656
Lang@3;35590
Lang@4;35533
Lang@5;35320
Lang@6;35207
Lang@7;35238
Lang@8;33143
Lang@9;33273
Lang@10;33289
Lang@11;33130
Lang@12;33116
Lang@13;33203
Lang@14;32332
Lang@15;32193
Lang@16;32732
Lang@17;31248
Lang@18;31240
Lang@19;31206
Lang@20;31202
Lang@21;31003
Lang@22;31056
Lang@23;30941
Lang@24;30896
Lang@25;30896
Lang@26;30399
Lang@27;30289
Lang@28;29415
Lang@29;29392
Lang@30;29088
Lang@31;29034
Lang@32;28642
Lang@33;28644
Lang@34;28652
Lang@35;28206
Lang@36;28274
Lang@37;28248
Lang@38;28228
Lang@39;28104
Lang@40;28822
Lang@41;28705
Lang@42;31725
Lang@43;31723
Lang@44;31717
Lang@45;31660
Lang@46;30487
Lang@47;31088
Lang@48;30595
Lang@49;30145
Lang@50;29762
Lang@51;28749
Lang@52;28741
Lang@53;28669
Lang@54;28562
Lang@55;28558
Lang@56;28646
Lang@57;28646
Lang@58;28652
Lang@59;28624
Lang@60;28580
Lang@61;28580
Lang@62;28562
Lang@63;28327
Lang@64;28137
Lang@65;27930
Math@1;114452
Math@2;113751
Math@3;112159
Math@4;111819
Math@5;109956
Math@6;109621
Math@7;109147
Math@8;108116
Math@9;107726
Math@10;105337
Math@11;104856
Math@12;104858
Math@13;104843
Math@14;104839
Math@15;93896
Math@16;93852
Math@17;92041
Math@18;91845
Math@19;91737
Math@20;91737
Math@21;91080
Math@22;91222
Math@23;91203
Math@24;91006
Math@25;90088
Math@26;87551
Math@27;87551
Math@28;87543
Math@29;86097
Math@30;86083
Math@31;85888
Math@32;85854
Math@33;84723
Math@34;84692
Math@35;84646
Math@36;85248
Math@37;85421
Math@38;84911
Math@39;84889
Math@40;85085
Math@41;85107
Math@42;85103
Math@43;84643
Math@44;84023
Math@45;83095
Math@46;80830
Math@47;80828
Math@48;80863
Math@49;81577
Math@50;81620
Math@51;81542
Math@52;77661
Math@53;74533
Math@54;67639
Math@55;67139
Math@56;67151
Math@57;66996
Math@58;66577
Math@59;65239
Math@60;64532
Math@61;68841
Math@62;68830
Math@63;63442
Math@64;60522
Math@65;60434
Math@66;59966
Math@67;59363
Math@68;57917
Math@69;57917
Math@70;57934
Math@71;56872
Math@72;55397
Math@73;55391
Math@74;56831
Math@75;56808
Math@76;56796
Math@77;56741
Math@78;56020
Math@79;55942
Math@80;55865
Math@81;55863
Math@82;54883
Math@83;54881
Math@84;54846
Math@85;54239
Math@86;51645
Math@87;51649
Math@88;51618
Math@89;44305
Math@90;44300
Math@91;43524
Math@92;36810
Math@93;36665
Math@94;36419
Math@95;29101
Math@96;28388
Math@97;24140
Math@98;24117
Math@99;39529
Math@100;23701
Math@101;23695
Math@102;22753
Math@103;22156
Math@104;22035
Math@105;14540
Math@106;13850
Mockito@1;12780
Mockito@2;12943
Mockito@3;12784
Mockito@4;12909
Mockito@5;12870
Mockito@6;12875
Mockito@7;12873
Mockito@8;12873
Mockito@9;12665
Mockito@10;12440
Mockito@11;12340
