version;number
Time@1;16866
Time@2;16862
Time@3;16852
Time@4;16852
Time@5;16796
Time@6;16764
Time@7;16593
Time@8;16555
Time@9;16551
Time@10;16551
Time@11;16544
Time@12;16498
Time@13;16491
Time@14;16458
Time@15;16456
Time@16;16456
Time@17;16435
Time@18;16425
Time@19;16417
Time@20;16413
Time@21;16406
Time@22;16237
Time@23;16235
Time@24;16219
Time@25;16184
Time@26;16183
Time@27;16107
Chart@1;56681
Chart@2;56654
Chart@3;56639
Chart@4;55619
Chart@5;52396
Chart@6;49582
Chart@7;49491
Chart@8;49489
Chart@9;49485
Chart@10;49495
Chart@11;49490
Chart@12;49492
Chart@13;49430
Chart@14;49412
Chart@15;49229
Chart@16;49220
Chart@17;48976
Chart@18;48971
Chart@19;48755
Chart@20;48428
Chart@21;48310
Chart@22;48288
Chart@23;48105
Chart@24;48055
Chart@25;47972
Chart@26;47320
Closure@1;53971
Closure@2;53867
Closure@3;53960
Closure@4;53941
Closure@5;53673
Closure@6;53676
Closure@7;53488
Closure@8;53175
Closure@9;53163
Closure@10;53188
Closure@11;53105
Closure@12;52930
Closure@13;52914
Closure@14;52879
Closure@15;52867
Closure@16;52885
Closure@17;52882
Closure@18;52882
Closure@19;52880
Closure@20;52828
Closure@21;52840
Closure@22;52844
Closure@23;52627
Closure@24;52509
Closure@25;52488
Closure@26;52484
Closure@27;52447
Closure@28;52445
Closure@29;52435
Closure@30;51923
Closure@31;51904
Closure@32;51894
Closure@33;51879
Closure@34;51840
Closure@35;51388
Closure@36;51371
Closure@37;51304
Closure@38;51187
Closure@39;51101
Closure@40;51099
Closure@41;51027
Closure@42;51019
Closure@43;51009
Closure@44;50304
Closure@45;50283
Closure@46;50447
Closure@47;50146
Closure@48;50080
Closure@49;55401
Closure@50;55230
Closure@51;55169
Closure@52;54985
Closure@53;54617
Closure@54;54264
Closure@55;54081
Closure@56;53983
Closure@57;53912
Closure@58;53845
Closure@59;53342
Closure@60;52252
Closure@61;52165
Closure@62;52168
Closure@63;52166
Closure@64;51826
Closure@65;51821
Closure@66;51770
Closure@67;51758
Closure@68;51749
Closure@69;51766
Closure@70;51472
Closure@71;49996
Closure@72;49733
Closure@73;49011
Closure@74;48580
Closure@75;48375
Closure@76;47279
Closure@77;47247
Closure@78;47248
Closure@79;47049
Closure@80;47028
Closure@81;46844
Closure@82;46347
Closure@83;46004
Closure@84;48342
Closure@85;48228
Closure@86;47943
Closure@87;47866
Closure@88;47848
Closure@89;47387
Closure@90;47374
Closure@91;47333
Closure@92;47290
Closure@93;47246
Closure@94;47175
Closure@95;44245
Closure@96;44757
Closure@97;42546
Closure@98;41377
Closure@99;41370
Closure@100;41255
Closure@101;39527
Closure@102;39179
Closure@103;39172
Closure@104;39172
Closure@105;38665
Closure@106;36531
Closure@107;62477
Closure@108;62473
Closure@109;62241
Closure@110;61666
Closure@111;56681
Closure@112;56390
Closure@113;56388
Closure@114;56388
Closure@115;56387
Closure@116;56376
Closure@117;56309
Closure@118;56303
Closure@119;56302
Closure@120;56265
Closure@121;56274
Closure@122;56213
Closure@123;56079
Closure@124;55929
Closure@125;55490
Closure@126;54394
Closure@127;54387
Closure@128;54264
Closure@129;54262
Closure@130;54259
Closure@131;54259
Closure@132;54225
Closure@133;54216
Lang@1;13933
Lang@2;13919
Lang@3;13895
Lang@4;13869
Lang@5;13792
Lang@6;13749
Lang@7;13759
Lang@8;12926
Lang@9;12982
Lang@10;12988
Lang@11;12916
Lang@12;12911
Lang@13;12948
Lang@14;12582
Lang@15;12526
Lang@16;12738
Lang@17;12156
Lang@18;12153
Lang@19;12145
Lang@20;12143
Lang@21;12077
Lang@22;12085
Lang@23;12040
Lang@24;12025
Lang@25;12025
Lang@26;11843
Lang@27;11797
Lang@28;11480
Lang@29;11472
Lang@30;11361
Lang@31;11337
Lang@32;11192
Lang@33;11193
Lang@34;11195
Lang@35;11019
Lang@36;11040
Lang@37;11029
Lang@38;11021
