line,variable
"org.apache.commons.math3.linear$ArrayFieldVector#ArrayFieldVector(org.apache.commons.math3.FieldElement[],int,int):191",d;size;pos
org.apache.commons.math3.analysis.function$Gaussian#value(org.apache.commons.math3.analysis.differentiation.DerivativeStructure):238,k
org.apache.commons.math3.distribution$HypergeometricDistribution#upperCumulativeProbability(int):230,domain;x
org.apache.commons.math3.distribution$ExponentialDistribution#getNumericalVariance():268,m
org.apache.commons.math3.distribution$HypergeometricDistribution#upperCumulativeProbability(int):236,ret
org.apache.commons.math3.analysis.function$Gaussian#value(org.apache.commons.math3.analysis.differentiation.DerivativeStructure):233,f;n
"org.apache.commons.math3.optimization.fitting$GaussianFitter$1#gradient(double,double[]):107",v
org.apache.commons.math3.analysis.function$Gaussian#value(org.apache.commons.math3.analysis.differentiation.DerivativeStructure):229,Precision;coeff
"org.apache.commons.math3.dfp$DfpField#computeLn(org.apache.commons.math3.dfp.Dfp,org.apache.commons.math3.dfp.Dfp,org.apache.commons.math3.dfp.Dfp):742",i
org.apache.commons.math3.fitting.leastsquares$AbstractLeastSquaresOptimizer#squareRoot(org.apache.commons.math3.linear.RealMatrix):326,dec;getSquareRoot
org.apache.commons.math3.fitting.leastsquares$AbstractLeastSquaresOptimizer#squareRoot(org.apache.commons.math3.linear.RealMatrix):320,i;dim
org.apache.commons.math3.fitting.leastsquares$AbstractLeastSquaresOptimizer#squareRoot(org.apache.commons.math3.linear.RealMatrix):323,sqrtM
org.apache.commons.math3.distribution$ExponentialDistribution#getNumericalMean():258,getMean
"org.apache.commons.math3.stat.inference$GTest#gTestIntrinsic(double[],long[]):189",cumulativeProbability;expected;g;distribution;observed
org.apache.commons.math3.distribution$HypergeometricDistribution#upperCumulativeProbability(int):228,domain;x
org.apache.commons.math3.fitting.leastsquares$AbstractLeastSquaresOptimizer#squareRoot(org.apache.commons.math3.linear.RealMatrix):317,m
